Latitude (dec deg),Longitude (dec deg)
43.10000,-87.85000
44.80000,-87.76000
45.40300,-85.08800
47.27000,-88.60700
43.97700,-86.55900
46.96900,-88.39800
41.98300,-86.61700
46.86000,-91.93000
46.81000,-91.84000
42.90000,-86.27200
43.17900,-86.35700
44.98700,-83.27000
43.98600,-83.59500
41.73200,-81.69400
41.70200,-83.26100
42.18600,-80.13700
42.39700,-86.33100
41.75500,-86.96800
42.13500,-87.65500
45.82500,-84.77200
41.55000,-81.76500
44.98163,-85.83086
42.36717,-87.79523
42.49063,-87.77888
43.49000,-79.52000
43.28500,-76.96100
43.38800,-78.19200
41.52090,-81.88030
41.61940,-81.61760
41.89250,-87.56306
42.70170,-87.64660
41.55000,-81.76500
44.50551,-87.45555
46.89830,-91.14550
42.12665,-80.14903
42.14434,-80.13937
41.49600,-82.75000
42.56000,-79.43000
43.03594,-87.89596
44.53910,-88.00350
44.65830,-87.82060
44.65389,-87.92972
44.52615,-87.94290
41.82000,-83.36000
41.83000,-83.20000
41.82000,-83.36000
41.777,-81.20512
41.6936,-81.40780
41.67000,-83.29000
41.52000,-81.01000
41.46297,-82.65015
41.45000,-82.22000
41.29194,-82.14326
41.72100,-81.36300
41.51000,-82.94000
41.67000,-83.29000
46.88824,-91.04800
44.17841,-88.43585
45.16881,-87.21914
42.40900,-81.63600
43.80100,-79.01200
43.57278,-79.51300
41.66000,-82.82000
41.53277,-82.46110
42.14000,-80.13000
41.68000,-83.25000
41.28863,-82.50071
41.64582,-82.81282
44.88167,-87.40999
41.68000,-83.31000
41.68000,-83.31000
41.72000,-83.37000
41.88865,-82.54852
41.88927,-82.54823
42.00210,-82.57803
42.00213,-82.57779
42.02183,-82.66964
42.02222,-82.66981
41.76240,-82.71743
41.99605,-82.71790
42.13183,-80.26972
41.73510,-83.30070
45.842,-85.13500
45.74666667,-84.90083
42.4322183,-82.7699716
42.5441367,-82.82947667
41.971783,-82.488083
44.658,-87.883
44.706,-87.758
44.706,-87.883
44.75,-87.821
44.794,-87.696
43.23460,-86.26067
43.05940,-87.86628
46.93200,-89.34955
43.73100,-87.62400
43.50100,-76.53900
48.0610,-87.7930
45.3440,-86.4110
45.3510,-82.8400
47.5850,-86.5850
41.6770,-82.3980
47.3350,-89.7930
42.6740,-87.0260
44.2830,-82.4160
43.6210,-77.4060
42.4600,-81.2200
43.7800,-76.8700
48.5300,-86.9500
45.5400,-81.0100
43.2500,-79.5300
42.7400,-79.2900
44.9400,-80.6270
42.4300,-82.6800
43.5400,-82.0700
46.0500,-82.6400
43.7700,-78.9800
48.0340,-87.7300
45.8034,-84.7916
41.601,-82.781
41.532,-82.941
41.393,-82.512
41.508,-82.115
41.501,-81.748
41.585,-81.583
41.762,-81.331
41.934,-80.747
44.055,-87.05
46.9727,-86.5682
,
46.721772,-92.06352
41.365,-82.50472
41.381667,-82.51389
41.37778,-82.508056
41.3825,-82.51444
41.2469,-82.4536
47.1245,-88.9593
46.3373,-86.2791
47.1245,-88.9593
41.7335,-83.1334
47.9131,-89.2292
46.5601,-86.4662
44.7578,-86.2612
46.5982,-87.3720
46.6957,-86.0038
46.5644,-86.5814
45.3358,-86.9598
44.7877,-85.6245
44.7695,-85.5536
43.3916,-87.8038
41.7433,-83.1363
43.1800,-86.3600
47.675565,-90.4510583
47.476667,-87.8702778
47.585,-86.585
43.3515,-82.845
48.0604,-88.5721
45.0448,-86.0153
45.9213,-84.3368
46.78158833,-85.070825
44.14891,-87.54886
43.32349722,-87.8120583
44.3455667,-87.44574167
46.735746,-92.04268
42.674,-87.0265
45.54984833,-86.89614444